"tf","gene","Gain","Cover","Frequency","Cor"
"BACH1","INA",0.020400326569855,0.0479954661852987,0.0479954661852987,-0.154578868132909
"BACH1","ZNF740",0.0232740250529162,0.042,0.042,-0.0185625697396052
"BACH1","HOXB6",0.02366086482044,0.0737851368684611,0.0737851368684611,-0.103991090213895
"BACH1","CCDC152",0.0243267689730081,0.044,0.044,-0.182745675203618
"BACH1","HHLA2",0.0448730009297814,0.044899659332649,0.044899659332649,-0.204712704259856
"BACH1","EMP1",0.050251267420116,0.0601414141414141,0.0601414141414141,-0.227177390419709
"BACH1","GFI1",0.0552531666463339,0.0422642754071325,0.0422642754071325,-0.0753606664721463
"BACH1","ANKRD13B",0.0653502166922415,0.0663636363636364,0.0663636363636364,-0.273286404202954
"BACH1","G0S2",0.0684128167419189,0.04,0.04,-0.293617483077435
"BACH2","EMILIN2",0.268919168856147,0.078,0.078,0.496573038527408
"BACH2","TTN",0.169515806102619,0.048,0.048,0.615511289282376
"BACH2","DOPEY2",0.12377051266808,0.124,0.124,0.553358025489843
"BACH2","MYC",0.0987717635603026,0.044,0.044,0.326217082403066
"BACH2","TFE3",0.0922098516119068,0.052,0.052,0.0660524278215212
"BACH2","KLF4",0.0565596908745956,0.05,0.05,0.431484698897112
"BACH2","MARCH1",0.0371603275292186,0.116,0.116,0.755758987680101
"BACH2","RORA",0.0368251532546627,0.088,0.088,0.324897895065504
"BACH2","ELF4",0.036421056300321,0.012,0.012,0.348827695327772
"BACH2","ZNF148",0.0297258768620301,0.034,0.034,0.374460876287515
"BACH2","HES1",0.0205811450187502,0.076,0.076,0.500279121702845
"BACH2","C1orf162",0.01708933507002,0.056,0.056,0.41990238197251
"BACH2","NCF2",0.0157090133581476,0.072,0.072,0.138852996403996
"BACH2","BACH1",0.0109970792915286,0.072,0.072,0.646347739410241
"BACH2","CENPE",0.0126747804189882,0.036,0.036,-0.29165628400155
"BACH2","FNIP2",0.0128754624354031,0.036,0.036,-0.171581177221169
"BACH2","RASSF6",0.0144208355317158,0.024,0.024,-0.287407247956862
"BACH2","G0S2",0.0165183541686401,0.026,0.026,-0.206199416377732
"BACH2","ETV4",0.0175914186201569,0.0484210526315789,0.0484210526315789,-0.15927705708953
"BACH2","PTP4A3",0.0236084295520944,0.044,0.044,-0.446594812578739
"BACH2","CCR5",0.0360087406282297,0.0578239224177817,0.0578239224177817,-0.13306262976996
"BACH2","SLC7A5",0.0385307648508485,0.058,0.058,-0.460377321117259
"BACH2","E2F2",0.0436547861722232,0.03,0.03,-0.336617795521726
"BACH2","ZKSCAN5",0.0491229054828959,0.054,0.054,-0.178792612549072
"BACH2","IGJ",0.0907218288750945,0.02,0.02,-0.589214326892375
"BACH2","BHLHE41",0.18522521563822,0.04,0.04,-0.433461369315397
"BARHL2","ITGA8",0.178764426510756,0.14,0.14,0.26892558402452
"BARHL2","GLIS3",0.0804561965073741,0.0416208791208791,0.0416208791208791,0.0947242254393365
"BARHL2","BHLHE22",0.0364073796203073,0.0234049705568693,0.0234049705568693,0.0703960182973487
